id,chunk,start,end
0,"in their esteemed opinion......... prof ns tibrewala mumbai :... occupies pride of the place as a standard textbook... an indispensable companion... prof pm udani mumbai :an essential reading... a nice work. prof nr bhandari bhopal :a great gift to the students, both undergraduates and postgraduates. prof dg benakappa bangalore :very comprehensive and uptodate...highly recommended. prof n sundravalli chennai :a work of special merit.",0,437
1,"of n sundravalli chennai :a work of special merit. prof ab desai ahmedabad :...effectively worded and illustrated, and of gr eat value. prof k indira bai annamalai :compr ehensive...extremely well written... ideal... strongly recommended. prof meharban singh noida :very informative. prof gp mathur kanpur :very useful for undergraduates, postgraduates and practitioners. prof pk misra lucknow :a very nice comprehensive textbook. prof k kalra agra :strongly recommended to undergraduates and postgraduates.",387,894
2,"y recommended to undergraduates and postgraduates. prof pinaki banerjee kolkata :a very comprehensive book...ideal for students. prof ss deshmukh nagpur :...fulfills a long awaited need... wonderful... ver y compr ehensive. prof rafiq ahmed kolkata :a book of outstanding merit. prof kps sinha patna :a fine and appreciable work... clinical approach is commendable. prof sk khetarpal amritsar :concise, compr ehensive, uptodate and to the point.... prof ps mathur gwalior :warmly recommended.",844,1336
3,nt.... prof ps mathur gwalior :warmly recommended. prof p chaturvedi sewagram :very helpful to students. prof birendra kumar darbhanga :a really very useful and precise volume for students. prof bk garg meerut :ideal for students. prof shanta karup kottayam :a very good work. prof ananthakrishna chennai :excellent...covers every aspect of pediatrics. prof nb mathur sewagram :highly useful...str ongly r ecommended. prof ak dikshit jamshedpur :the book fulfills a very longstanding need.,1286,1775
4,"edpur :the book fulfills a very longstanding need. prof a v ramana warangal :very useful for students as well as practitioners. prof sp srivastava patna :very uptodate, comprehensive and appropriate for our students, both under and postgraduates..... prof neetu raizada ludhiana :a highly recommended stateoftheart textbook... an essential reading. prof b sharda udaipur :most compr ehensive and stateofthear t textbook... prof madhuri kulkarni mumbai :... tailormade to the needs of the students.",1725,2222
5,"mbai :... tailormade to the needs of the students. prof a parthasarthy chennai :a prototype of nelson textbook of pediatrics.... modelled as per requirements in india... prof am sur nagpur :... a boon for pediatric scholars in india in par ticular ... warmly recommended. prof utpal kant singh patna :...profusely illustrated, clinicaloriented, most uptodate and ideal to meet the needs of students inindia in par ticular.",2172,2594
6,meet the needs of students inindia in par ticular. prof bs prajapati ahmedabad :an essential reading for all students of pediatrics... car ries valuable information including much soughtafter statistical data... useful for teachers too. prof vn tripathi kanpur :a meritorious work...most suitable for undergraduates in particular and postgraduates in general.,2544,2903
7,"duates in particular and postgraduates in general. prof javed chowdhary srinagar :a textbook of extraordinary merit...an essential reading for the undergraduates as well aspostgraduates... prof masoodulhassan srinagar :most uptodate, wellillustrated, clinicaloriented, very comprehensive and studentfriendly textbook...warmly r ecommended. prof praveen c sobti ludhiana :for over 3 decades, dr suraj guptes textbook has been popular with under graduates and postgraduates alike.",2853,3331
8,ular with under graduates and postgraduates alike. the book contains all that the students need to know about common childhood illnesses in the developing world. it is a thoroughly readable book. prof vijay sharma shimla :a highly recommended textbook of pediatrics.. prof db sharma jammu :tailormade for the needs of students in india...strongly recommended. prof col vs puri jammu :an outstanding clinicaloriented textbook... most useful... warmly recommended.,3281,3743
9,"ted textbook... most useful... warmly recommended. prof pankaj abrol rohtak :a very comprehensive and uptodate textbook of pediatrics... a nice indian response to nelson stextbook of pediatrics... can easily compete with best textbooks of pediatrics... a must for all students of pediatrics in india. prof mma faridi delhi :ther e are many books around in the specialty but the short textbook of pediatrics is unique...it makes the subject easy , interesting and understandable.",3693,4171
